城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
ECVJ105,M20220,捷豹XJ,216000.0,1130.07,52.32,9,21.22
ECVM214,M20254,奥迪A4L,100000.0,545.92,54.59,7,28.47
ECVM203,M19764,宝马X5（保底10%）,528000.0,5644.43,106.9,30,13.01
ECVM214,M20083,宝马X1,81000.0,587.96,72.59,15,17.66
CCVA121,M19597,荣威RX5,90000.0,1054.32,117.15,37,11.56
ECVM108,M19417,路虎发现神行,223000.0,3209.24,143.91,45,11.67
SWVU120,M18761,宝马GT535i,200000.0,4551.84,227.59,76,10.93
CCVF207,M18851,日产途乐,385000.0,8218.74,213.47,72,10.82
ECVK114,M19918,丰田汉兰达,160000.0,1236.58,77.29,23,12.26
CCVF105,M19340,丰田普拉多,77000.0,1140.12,148.07,49,11.03
SWVA216,M19667,奥迪A6L,150000.0,1654.35,110.29,35,11.5
ECVM204,M19874,奥迪Q3,155000.0,1447.13,93.36,24,14.2
SCVA115,M18604,奥迪Q7,203000.0,3960.12,195.08,89,8
CCVA128,M18627,路虎揽胜极光,112000.0,2185.05,195.09,89,8
CCVF105,M20048,别克GL8,80000.0,576.0,72.0,17,15.46
CCVF105,M19600,本田缤智,63000.0,740.87,117.6,37,11.6
NWVB110,M19490,大众途观,80000.0,1186.51,148.31,42,12.89
NWVB110,M19955,雪佛兰迈锐宝,64000.0,740.38,115.68,22,19.19
SWVG107,M18711,福特福克斯,52000.0,1031.76,198.42,79,9.17
NWVA105,M19700,宝马730Li,205000.0,2626.4,128.12,32,14.61
SWVM117,M20026,丰田RAV4,91000.0,788.03,86.6,19,16.64
SWVM117,M19763,奥迪A4L,91000.0,951.57,104.57,30,12.72
ECVC107,M20150,斯巴鲁BRZ,128000.0,1209.85,94.52,13,26.54
CCVF207,M18713,帕杰罗,211000.0,4875.7,231.08,78,10.81
SCVA110,M20066,日产轩逸,61000.0,579.85,95.06,15,23.13
CCVF219,M18557,斯巴鲁力狮,126000.0,2486.0,197.3,90,8
SCVG104,M18592,丰田凯美瑞,64000.0,1249.13,195.18,89,8
SCVB118,M20267,丰田汉兰达,137000.0,875.4,63.9,6,38.87
ECVC104,M19659,保时捷Cayenne,280000.0,2900.54,103.59,34,11.12
NCVG107,M20242,本田雅阁,124000.0,430.06,34.68,7,18.08
NCVG107,M20183,大众迈腾,112000.0,485.24,43.33,9,17.57
NWVA204,M18661,猎豹CS10,61000.0,1507.38,247.11,83,10.87
CCVA129,M19800,奔驰GLC260,204000.0,1948.48,95.51,28,12.45
ECVM104,M18649,大众迈腾,140000.0,3018.57,215.61,87,9.05
SCVA110,M20243,大众高尔夫,48000.0,296.09,61.69,7,32.16
NCVA113,M20009,奥迪A6L,180000.0,1157.73,64.32,19,12.36
SWVA204,M20207,本田XR-V,100000.0,610.0,61.0,9,24.74
SWVM209,M18824,现代索纳塔九,100000.0,2171.06,217.11,72,11.01
ECVD107,M20089,路虎发现神行,215000.0,1034.64,48.12,14,12.55
NWVB114,M19828,丰田RAV4,100000.0,923.98,92.4,26,12.97
NWVB105,M19852,奥迪A3,112000.0,974.6,87.02,26,12.22
SCVA110,M20347,日产骐达,47000.0,250.03,53.2,1,194.17
SWVM105,M19482,奥迪A4L,174000.0,2206.18,126.79,41,11.29
ECVR109,M18583,别克君越,144000.0,2809.16,195.08,89,8
NWVB103,M20072,奥迪A6L,272000.0,1966.77,72.31,15,17.59
CCVF110,M20070,保时捷Boxster,331000.0,1701.13,51.39,15,12.51
SWVM201,M19418,传祺GS4,71000.0,1055.01,148.59,44,12.33
SWVU109,M19638,宝马116i,88000.0,994.25,112.98,35,11.78
CCVA103,M19995,大众POLO,60000.0,520.01,86.67,19,16.65
CCVF110,M18560,奥迪A6L,182000.0,3550.97,195.11,89,8
ECVJ101,M18729,奔驰S300L,276000.0,5720.78,207.27,76,9.95
SCVA113,M19372,宝骏730,56000.0,1032.26,184.33,46,14.63
SCVB106,M18777,本田奥德赛,84000.0,1551.67,184.72,74,9.11
SCVB109,M19926,宝马520Li,176000.0,1646.28,93.54,21,16.26
CCVF105,M19906,捷豹XE,160000.0,1132.84,70.8,21,12.31
SWVU118,M20171,宝马520Li,176000.0,828.97,47.1,9,19.1
NWVB108,M19696,现代领动,73000.0,857.97,117.53,31,13.84
SCVA114,M19620,日产天籁,97000.0,1261.4,130.04,34,13.96
CCVF202,M19494,大众途锐,206000.0,2500.79,121.4,40,11.08
SCVA113,M20166,丰田汉兰达,152000.0,1187.33,78.11,9,31.68
ECVC102,M18585,福特锐界,82000.0,1581.94,192.92,88,8
ECVS109,M20086,宝马X1,120000.0,672.0,56.0,13,15.72
SCVA101,M18948,大众CC,94000.0,1655.18,176.08,65,9.89
SWVF110,M19558,众泰T700,76000.0,826.15,108.7,36,11.02
CCVG108,M19933,奥迪A4L,144000.0,1020.06,70.84,21,12.31
SCVI105,M19244,荣威350,40000.0,704.27,176.07,53,12.13
SWVG104,M19804,宝马X3,200000.0,1895.94,94.8,26,13.31
NCVG107,M20337,现代索纳塔八,56000.0,69.93,12.49,1,45.58
SWVM101,M18630,奥迪Q5,100000.0,2300.9,230.09,85,9.88
NWVB109,M18838,本田凌派,60000.0,1252.17,208.7,69,11.04
CCVA127,M19398,奥迪A6L,104000.0,1403.62,134.96,43,11.46
NCVA109,M20050,奔驰GLK300,182000.0,875.89,48.13,14,12.55
SWVF206,M20105,大众速腾,89000.0,623.0,70.0,11,23.23
SWVM112,M18684,沃尔沃XC60,182000.0,3863.33,212.27,77,10.06
NWVB113,M19280,奥迪Q7,216000.0,3198.39,148.07,49,11.03
NWVB113,M19688,奔驰S300L,126000.0,1193.28,94.7,31,11.15
SWVM123,M18591,逸动,44000.0,1084.18,246.4,87,10.34
CCVF105,M19801,别克GL8,160000.0,1391.98,87.0,26,12.21
ECVM206,M19931,别克GL8,187000.0,1447.34,77.4,20,14.13
ECVJ211,M20061,宝马730Li,272000.0,1289.23,47.4,13,13.31
CCVA101,M19625,福特锐界,148000.0,1530.6,103.42,33,11.44
NWVQ106,M19438,大众途观,113000.0,1685.65,149.17,41,13.28
NWVA105,M20255,MINI,108000.0,624.22,57.8,4,52.74
ECVD107,M20007,别克君威,91000.0,655.2,72.0,17,15.46
ECVD107,M19632,宝马535i,151000.0,1519.32,100.62,33,11.13
SCVB106,M19689,大众POLO,32000.0,666.69,208.34,31,24.53
SCVI101,M18514,丰田普拉多,96000.0,1872.96,195.1,89,8
NWVB101,M18949,马自达3 Axela,79000.0,1521.51,192.6,63,11.16
CCVF102,M20233,凯迪拉克SRX,144000.0,345.6,24.0,5,17.52
ECVM112,M18625,奥迪A6L,204000.0,4838.37,237.18,86,10.07
ECVM112,M18622,宝马525Li,230000.0,4912.59,213.59,86,9.07
NWVB110,M19619,日产天籁,64000.0,852.46,133.2,33,14.73
NWVB110,M19833,日产蓝鸟,64000.0,756.43,118.19,24,17.98
ECVJ106,M18959,宝马520Li,224000.0,4246.49,189.58,63,10.98
SWVM117,M20025,WEYVV7,118000.0,862.45,73.09,16,16.67
SWVB106,M20099,宝马525Li,192000.0,1477.02,76.93,11,25.53
SCVA114,M18556,奔驰B180,114000.0,2199.02,192.9,88,8
NWVB104,M20096,大众迈腾,120000.0,737.15,61.43,12,18.68
NWVA105,M19336,大众途锐,196000.0,3171.25,161.8,47,12.57
SWVM201,M19527,现代名图,63000.0,819.1,130.02,38,12.49
NWVA202,M18665,福特蒙迪欧-致胜,52000.0,1241.32,238.72,80,10.89
ECVD103,M20306,宝马528Li,280000.0,61.9,2.21,1,8.07
SCVI113,M18520,现代朗动,65000.0,1268.04,195.08,89,8
SWVM116,M19835,别克英朗,60000.0,660.0,110.0,24,16.73
NWVQ106,M19499,起亚智跑,88000.0,1210.03,137.5,39,12.87
SCVG105,M18537,博越,71000.0,2010.88,283.22,88,11.75
CCVG107,M20094,哈弗H2,58000.0,302.02,52.07,12,15.84
SCVG105,M18538,博越,75000.0,2030.09,270.68,88,11.23
SWVK111,M18601,本田杰德,75000.0,1757.18,234.29,85,10.06
SWVA216,M19844,丰田普拉多,184000.0,1478.0,80.33,23,12.75
ECVM112,M18529,福特翼虎,98000.0,1890.22,192.88,88,8
SWVK201,M18632,大众CC,130000.0,3268.04,251.39,84,10.92
CCVA137,M18587,奔驰C180K,84000.0,2009.46,239.22,86,10.15
NWVA105,M20232,路虎揽胜极光,196000.0,1087.92,55.51,4,50.65
SCVB106,M18511,日产天籁,82000.0,1581.68,192.89,88,8
SCVB110,M19912,丰田普拉多,248000.0,2175.86,87.74,18,17.79
SCVA110,M18970,本田思域,69000.0,1082.74,156.92,61,9.39
CCVA127,M19890,宝马Z4,122000.0,824.76,67.6,19,12.99
SWVM121,M19621,别克昂科拉,56000.0,570.72,101.91,31,12
SWVK201,M18605,现代索纳塔九,98000.0,2472.48,252.29,84,10.96
SWVK201,M18607,丰田凯美瑞,102000.0,2571.65,252.12,84,10.96
NWVQ111,M19822,奥迪A6L,168000.0,1668.3,99.3,23,15.76
SWVF110,M19142,起亚智跑,80000.0,1259.75,157.47,53,10.84
SWVF110,M19645,众泰T700,76000.0,714.25,93.98,31,11.07
ECVD109,M19956,奥迪A6L,73000.0,525.6,72.0,17,15.46
NWVA105,M19806,英菲尼迪EX25,115000.0,1227.27,106.72,23,16.94
CCVF102,M18532,本田雅阁,80000.0,1851.02,231.38,86,9.82
SWVM114,M18845,宝马320Li,120000.0,2097.82,174.82,66,9.67
SCVB106,M18911,丰田卡罗拉,56000.0,1224.66,218.69,64,12.47
SWVM207,M19671,大众帕萨特,100000.0,1035.75,103.58,28,13.5
SCVI115,M20074,传祺GS4,74000.0,407.0,55.0,10,20.08
SWVF108,M18888,宝马120i,96000.0,1779.74,185.39,65,10.41
SWVK112,M19622,马自达CX-7,80000.0,841.6,105.2,30,12.8
SWVM201,M19230,现代索纳塔九,100000.0,1631.3,163.13,49,12.15
SWVK107,M18636,宝马GT528i,240000.0,5417.84,225.74,82,10.05
NWVA104,M18589,本田CR-V,124000.0,3099.7,249.98,84,10.86
NWVQ110,M19561,宝马335i,100000.0,1270.58,127.06,32,14.49
NCVA112,M18617,奥迪A6L,210000.0,4270.68,203.37,83,8.94
NCVG107,M19231,本田CR-V,108000.0,1722.92,159.53,49,11.88
NWVA108,M20263,大众帕萨特,100000.0,150.0,15.0,1,54.75
ECVM120,M18502,别克君越,70000.0,1510.76,215.82,87,9.05
SWVM117,M19329,名爵锐腾,70000.0,974.58,139.23,44,11.55
SWVU109,M19379,大众迈腾,144000.0,1889.3,131.2,42,11.4
NCVB110,M19238,奥迪A8L (保底10%),357000.0,5285.78,148.06,49,11.03
ECVD108,M18489,奥迪R8（保底10%）,595000.0,15790.06,265.38,88,11.01
SCVB106,M18603,大众POLO,47000.0,1172.22,249.41,83,10.97
NCVH202,M19062,丰田皇冠,104000.0,1786.66,171.79,57,11
NCVH202,M19167,宝马X1,108000.0,1680.17,155.57,51,11.13
SWVA216,M19489,宝马320Li,132000.0,1487.64,112.7,36,11.43
ECVJ206,M19974,奔驰C180L,204000.0,1269.01,62.21,15,15.14
CCVF211,M19732,本田凌派,68000.0,707.99,104.12,25,15.2
CCVF211,M19759,日产天籁,62000.0,620.0,100.0,24,15.21
SWVU106,M19628,宝马320Li,137000.0,1425.3,104.04,30,12.66
ECVJ102,M19217,大众Multivan,152000.0,2250.75,148.08,49,11.03
ECVM112,M18497,奔驰R400,328000.0,7077.58,215.78,87,9.05
SCVI115,M20073,传祺GS4,67000.0,368.5,55.0,10,20.08
NWVA105,M19454,奔驰GLK260,220000.0,3075.45,139.79,38,13.43
ECVM201,M18493,奥迪A4L,136000.0,2949.94,216.91,87,9.1
SWVU108,M18599,雷克萨斯NX200,200000.0,4578.01,228.9,83,10.07
CCVF215,M20087,宝马535Li,154000.0,492.91,32.01,8,14.6
ECVM214,M19446,宝马X1,100000.0,1157.77,115.78,37,11.42
ECVM203,M18827,丰田坦途,416000.0,8027.97,192.98,66,10.67
NWVA105,M19317,宝马523Li,162000.0,2683.3,165.64,43,14.06
NWVA105,M20091,宝马X1,131000.0,993.4,75.83,8,34.6
ECVM104,M19009,传祺GS8,124000.0,1794.32,144.7,58,9.11
SWVK201,M18543,大众帕萨特,109000.0,2745.89,251.92,84,10.95
SWVM123,M18565,逸动,32000.0,774.11,241.91,84,10.51
SWVU116,M18558,大众帕萨特,94000.0,2601.26,276.73,84,12.02
NWVA104,M19587,奥迪A3,104000.0,1284.83,123.54,30,15.03
SWVM204,M19761,福特新蒙迪欧,100000.0,861.67,86.17,23,13.67
NCVA104,M19623,奔驰CLA260,210000.0,2030.85,96.71,29,12.17
SWVM119,M18578,大众途观,70000.0,1624.71,232.1,83,10.21
ECVR106,M18563,奥迪Q5,204000.0,4667.46,228.8,84,9.94
SWVU109,M19777,宝马X1,164000.0,1269.48,77.41,22,12.84
SCVG104,M19633,福特福克斯,40000.0,458.89,114.72,29,14.44
ECVK104,M19319,标致3008,96000.0,1250.63,130.27,43,11.06
CCVA109,M19255,丰田普拉多,184000.0,2548.35,138.5,45,11.23
SWVG101,M19958,宝马320Li,188000.0,966.37,51.4,15,12.51
