城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率,天数乘收益率,收益率除天数
ECVJ105,M20220,捷豹XJ,216000.0,1130.07,52.32,9,21.22,190.98,2.3577777777777778
ECVM214,M20254,奥迪A4L,100000.0,545.92,54.59,7,28.47,199.29,4.067142857142857
ECVM203,M19764,宝马X5,528000.0,5644.43,106.9,30,13.01,390.3,0.43366666666666653
ECVM214,M20083,宝马X1,81000.0,587.96,72.59,15,17.66,264.9,1.1773333333333331
CCVA121,M19597,荣威RX5,90000.0,1054.32,117.15,37,11.56,427.72,0.3124324324324325
ECVM108,M19417,路虎发现神行,223000.0,3209.24,143.91,45,11.67,525.15,0.2593333333333333
SWVU120,M18761,宝马GT535i,200000.0,4551.84,227.59,76,10.93,830.68,0.1438157894736842
CCVF207,M18851,日产途乐,385000.0,8218.74,213.47,72,10.82,779.04,0.1502777777777778
ECVK114,M19918,丰田汉兰达,160000.0,1236.58,77.29,23,12.26,281.98,0.5330434782608695
CCVF105,M19340,丰田普拉多,77000.0,1140.12,148.07,49,11.03,540.4699999999998,0.2251020408163265
SWVA216,M19667,奥迪A6L,150000.0,1654.35,110.29,35,11.5,402.5,0.32857142857142857
ECVM204,M19874,奥迪Q3,155000.0,1447.13,93.36,24,14.2,340.7999999999999,0.5916666666666667
SCVA115,M18604,奥迪Q7,203000.0,3960.12,195.08,89,8.0,712.0,0.0898876404494382
CCVA128,M18627,路虎揽胜极光,112000.0,2185.05,195.09,89,8.0,712.0,0.0898876404494382
CCVF105,M20048,别克GL8,80000.0,576.0,72.0,17,15.46,262.82,0.9094117647058824
CCVF105,M19600,本田缤智,63000.0,740.87,117.6,37,11.6,429.2,0.31351351351351353
NWVB110,M19490,大众途观,80000.0,1186.51,148.31,42,12.89,541.38,0.3069047619047619
NWVB110,M19955,雪佛兰迈锐宝,64000.0,740.38,115.68,22,19.19,422.18,0.8722727272727273
SWVG107,M18711,福特福克斯,52000.0,1031.76,198.42,79,9.17,724.43,0.1160759493670886
NWVA105,M19700,宝马730Li,205000.0,2626.4,128.12,32,14.61,467.52,0.4565625
SWVM117,M20026,丰田RAV4,91000.0,788.03,86.6,19,16.64,316.16,0.8757894736842106
SWVM117,M19763,奥迪A4L,91000.0,951.57,104.57,30,12.72,381.6,0.424
ECVC107,M20150,斯巴鲁BRZ,128000.0,1209.85,94.52,13,26.54,345.02,2.0415384615384613
CCVF207,M18713,帕杰罗,211000.0,4875.7,231.08,78,10.81,843.1800000000003,0.1385897435897436
SCVA110,M20066,日产轩逸,61000.0,579.85,95.06,15,23.13,346.95,1.5419999999999998
CCVF219,M18557,斯巴鲁力狮,126000.0,2486.0,197.3,90,8.0,720.0,0.08888888888888889
SCVG104,M18592,丰田凯美瑞,64000.0,1249.13,195.18,89,8.0,712.0,0.0898876404494382
SCVB118,M20267,丰田汉兰达,137000.0,875.4,63.9,6,38.87,233.22,6.478333333333333
ECVC104,M19659,保时捷Cayenne,280000.0,2900.54,103.59,34,11.12,378.08,0.3270588235294117
NCVG107,M20242,本田雅阁,124000.0,430.06,34.68,7,18.08,126.56,2.5828571428571427
NCVG107,M20183,大众迈腾,112000.0,485.24,43.33,9,17.57,158.13,1.9522222222222223
NWVA204,M18661,猎豹CS10,61000.0,1507.38,247.11,83,10.87,902.21,0.13096385542168673
CCVA129,M19800,奔驰GLC260,204000.0,1948.48,95.51,28,12.45,348.6,0.4446428571428571
ECVM104,M18649,大众迈腾,140000.0,3018.57,215.61,87,9.05,787.35,0.10402298850574714
SCVA110,M20243,大众高尔夫,48000.0,296.09,61.69,7,32.16,225.12,4.5942857142857125
NCVA113,M20009,奥迪A6L,180000.0,1157.73,64.32,19,12.36,234.84,0.6505263157894736
