收益率除天数,收益率除天数,收益率除天数
median,count,std
0.14903614457831324,1,
0.09213483146067415,1,
0.2115873015873016,1,
0.4305747126436782,1,
0.09431818181818183,1,
0.622258064516129,1,
0.8633333333333333,1,
0.18305555555555555,8,0.024665405154925796
0.125625,1,
0.6051515151515151,1,
1.1114285714285714,1,
1.2269230769230768,1,
0.15454545454545454,1,
0.28804347826086957,1,
0.3248804347826087,2,0.044716817966775346
0.11415730337078651,1,
0.2872058823529412,1,
0.5616666666666666,1,
0.09213483146067415,1,
1.1623076923076923,1,
0.20976744186046511,1,
0.15807497589199615,2,0.04074387458326829
0.21693181818181817,1,
0.15701149425287356,1,
0.32266666666666666,1,
0.6464285714285715,1,
0.09213483146067415,1,
0.09872093023255814,1,
0.21448979591836734,1,
0.18000000000000002,1,
0.2396551724137931,1,
0.11630341880341882,2,0.038770000011211135
0.11793103448275861,5,0.4762034948265074
0.09090909090909091,1,
15.116666666666667,1,
0.20706896551724138,1,
1.0366666666666666,1,
0.17355263157894738,1,
0.18465753424657536,3,0.040110404169976126
0.20580555555555557,2,0.030209173040691952
0.9623529411764705,1,
0.1993939393939394,3,0.0491695237644945
0.16865900383141763,14,0.29118124208332885
0.19460526315789473,1,
0.15305882352941177,17,0.1631524181769786
0.15788235294117647,115,0.05637809755408549
0.08888888888888889,1,
0.24439393939393939,2,0.2170603543460523
0.11833333333333333,1,
0.26170212765957446,4,0.09523397300220776
0.74,1,
0.4675919540229885,2,0.011208048865014392
0.1743079635615633,16,0.2512045411479879
1.0085714285714285,1,
0.3083720930232558,27,0.5448588808578776
0.2709683794466403,46,2.646578436795042
0.3267441860465116,1,
0.2569230769230769,67,15.151828844731776
0.3621951219512195,7,9.376943080836185
0.24555555555555558,25,2.8506296192092595
0.1794736842105263,5,0.14480443943140245
0.09090909090909091,1,
0.7094642857142857,2,0.3664328355363145
0.36619047619047623,91,1.5584164316829472
0.2856521739130435,1,
3.307894736842105,1,
0.2339622641509434,1,
1.1803571428571429,2,0.08939850019287059
0.12523096129837702,4,0.7021762551768754
0.3696969696969697,3,1.499523793613641
0.29458333333333336,1,
0.16783132530120481,1,
0.5399999999999999,15,1.1853376962783104
0.30796011632737846,4,0.493387679398385
0.13191111111111112,2,0.06084261015009581
0.7327272727272728,1,
0.3766421568627451,2,0.39954999346751635
2.35375,1,
0.3538709677419355,1,
0.3222222222222222,7,0.520256502490499
1.2961538461538462,1,
0.6494602272727273,2,0.5549582936664649
0.19672131147540983,1,
0.14458667736757624,2,0.07735611985837745
0.17936708860759493,1,
0.7048888888888889,3,0.3111530098460229
0.23754385964912278,33,31.067084016352332
0.51,1,
0.6913636363636364,1,
0.4761666666666666,8,0.21944218498987939
0.11758620689655173,7,0.49591738548777115
0.11784090909090908,1,
0.16923076923076924,1,
0.47620689655172416,1,
0.3065336134453781,4,2.4757889049237893
4.43625,1,
0.0901111111111111,1,
0.1661497641509434,2,0.05907843802720152
0.7716666666666666,1,
0.351,3,0.3933852080022837
0.14414285714285713,1,
0.30901960784313726,1,
0.8689296296296297,2,0.685427411058169
0.8276190476190476,1,
0.16819277108433736,1,
0.7298440545808966,8,0.7193264216580726
0.164086410354016,8,5.07766771957772
0.39442857142857146,18,0.33716171829640607
0.17026315789473684,1,
0.49,81,48.40378387278869
0.2539622641509434,1,
0.1422093023255814,1,
0.17153846153846156,1,
0.11913793103448275,2,0.004145108717300456
0.31153377630121815,154,2.7604194493496697
0.4276470588235294,290,5.144760321685648
0.4302857142857143,77,3.6268110622478473
0.16736666666666666,28,4.215125544204878
0.46535714285714286,71,1.0314205887235923
0.24770833333333334,33,0.37227999975961773
0.09090909090909091,1,
0.6148989898989898,10,1.4026832246993655
0.415,531,6.4346941491574805
0.1892753623188406,29,0.6542442111681603
0.1128235294117647,1,
0.3749900530503979,4,0.27740795907898175
0.5244743130227001,184,9.937763527277541
0.2484090909090909,73,0.7813632841128623
0.6326923076923077,3,1.6865688387708566
1.5171428571428571,1,
0.31761904761904763,1,
1.7328846153846154,6,5.930833360895808
0.36952380952380953,11,0.4991753227305967
