城市车商,第几期,车型,众筹金额,分红,每万元分红,天数,收益率
南京03,Y481,奔驰GLS450,991000.0,30707.42,309.86,87,13
南京03,Y482,宝马X5,599000.0,18134.11,302.74,85,13
贵阳03,M14313,大众途观,90000.0,1775.0,197.22,90,8
贵阳03,M14314,标致3008,75000.0,1479.0,197.2,90,8
山东44,M14257,奔驰R350L,262000.0,5110.0,195.04,89,8
重庆19,M14258,宝马520Li,260000.0,5071.0,195.04,89,8
重庆19,M14260,Jeep自由光,150000.0,3100.0,206.67,89,8.48
重庆19,M14261,凯迪拉克ATS-L,156000.0,3481.71,223.19,89,9.15
重庆03,M14264,奔驰GLA220,201000.0,3920.0,195.02,89,8
南京07,M14267,凯迪拉克XT5,203000.0,3959.0,195.02,89,8
重庆03,M14288,丰田凯美瑞,100000.0,2464.47,246.45,89,10.11
太原02,M14291,雪佛兰赛欧,24000.0,581.39,242.25,89,9.93
重庆31,M14298,标致3008,87000.0,1697.0,195.06,89,8
山东44,M14203,奔驰ML400,456000.0,8795.0,192.87,88,8
山东45,M14216,别克GL8,192000.0,3703.0,192.86,88,8
南京10,M14256,宝马X3,292000.0,6916.48,236.87,87,9.94
南京07,M14270,奔驰E300L,240000.0,5620.21,234.18,86,9.94
长沙08,M14276,奔驰E260L,212000.0,4019.29,189.59,86,8.05
广东05,M14160,猎豹CS9,73000.0,1424.0,195.07,89,8
广东05,M14176,帝豪GL,74000.0,1427.0,192.84,88,8
广东05,M14177,远景,51000.0,1200.0,235.29,88,9.76
广东05,M14178,全新帝豪,62000.0,1300.0,209.68,88,8.7
山东43,M14199,大众高尔夫,118000.0,2546.53,215.81,87,9.05
贵阳09,M14204,路虎揽胜极光,193000.0,4613.51,239.04,87,10.03
广东06,M14213,众泰T600,74000.0,2157.15,291.51,87,12.23
山东38,M14119,丰田塞纳,272000.0,5305.0,195.04,89,8
广东05,M14158,吉利博越,100000.0,2500.0,250.0,88,10.37
广东05,M14159,吉利帝豪,76000.0,1465.0,192.76,88,8
合肥09,M14166,福特新蒙迪欧,102000.0,1967.0,192.84,88,8
南京05,M14169,雪佛兰科帕奇,73000.0,1748.76,239.56,88,9.94
南京05,M14171,大众迈腾,98000.0,1890.0,192.86,88,8
贵阳07,M14221,路虎发现4,496000.0,10502.58,211.75,86,8.99
南京09,M14107,丰田埃尔法,496000.0,9675.0,195.06,89,8
长沙12,M14131,奔驰S600L,364000.0,7020.0,192.86,88,8
重庆31,M14136,Jeep自由侠,96000.0,2053.79,213.94,88,8.87
山东44,M14147,奥迪A6L,224000.0,4320.0,192.86,88,8
南京07,M14054,奔驰C200,224000.0,4418.0,197.23,90,8
山东03,M14123,猛禽F-150,277000.0,6700.0,241.88,87,10.15
长沙02,M14130,路虎神行者2,120000.0,2842.39,236.87,87,9.94
太原15,M14152,奥迪A6L,185000.0,4382.02,236.87,87,9.94
南京08,M14198,保时捷cayman,441000.0,10089.84,228.79,84,9.94
贵阳07,M14214,奥迪A4L,182000.0,3787.21,208.09,84,9.04
山东35,M13989,路虎揽胜运动,438000.0,9736.0,222.28,90,9.01
山东56,M14037,宝马520Li,280000.0,5480.33,195.73,89,8.03
长沙08,M14048,奥迪A5,228000.0,4881.2,214.09,89,8.78
太原15,M14091,奥迪A5,248000.0,5940.99,239.56,88,9.94
成都17,M14103,宝马320Li,176000.0,3891.29,221.1,87,9.28
贵阳11,M14108,大众高尔夫,78000.0,1889.55,242.25,87,10.16
山西02,M14212,别克GL8,119000.0,2691.06,226.14,83,9.94
长沙11,M13995,丰田锐志,62000.0,2000.0,322.58,89,13.23
贵阳03,M13998,奥迪A6L,200000.0,4900.93,245.05,89,10.05
重庆20,M14001,路虎揽胜极光,228000.0,4631.02,203.11,89,8.33
贵州01,M13984,本田CR-V,84000.0,1620.0,192.86,88,8
山东10,M14012,保时捷Panamera,464000.0,8949.0,192.87,88,8
山东10,M14016,宝马520Li,200000.0,4791.12,239.56,88,9.94
山东33,M14031,奔驰C180L,241000.0,5200.41,215.78,87,9.05
山东43,M14060,比亚迪唐,118000.0,2546.53,215.81,87,9.05
南京05,M14096,宝马325i,122000.0,2824.12,231.49,85,9.94
长沙24,M14146,丰田RAV4,86000.0,1967.63,228.79,84,9.94
成都13,M14200,哈弗H8,112000.0,2149.41,191.91,81,8.65
重庆17,M13949,哈弗H9,123000.0,2399.0,195.04,89,8
长沙08,M13976,宝马420i,268000.0,5169.0,192.87,88,8
南京10,M13985,宝马525Li,288000.0,6821.73,236.87,87,9.94
山东11,M14110,奔驰C260L,238000.0,4979.96,209.24,84,9.09
山东13,M14306,路虎揽胜极光,224000.0,4297.52,191.85,76,9.21
重庆36,M13863,宝马530Li,180000.0,3550.0,197.22,90,8
重庆01,M13895,奔驰GL450,260000.0,5300.0,203.85,90,8.27
重庆01,M13897,保时捷Cayenne,182000.0,3700.0,203.3,89,8.34
重庆01,M13899,奥迪Q5,148000.0,2887.0,195.07,89,8
重庆01,M13900,别克君越,94000.0,1938.0,206.17,89,8.46
山东17,M13906,别克GL8,98000.0,1911.0,195.0,89,8
长沙13,M13927,路虎揽胜运动,231000.0,4506.0,195.06,89,8
重庆01,M13931,奔驰GL350,480000.0,9363.0,195.06,89,8
重庆01,M13936,路虎发现3,208000.0,4012.0,192.88,88,8
重庆17,M13937,路虎神行者2,159000.0,3066.0,192.83,88,8
重庆01,M13958,现代索纳塔八,81000.0,1800.0,222.22,88,9.22
重庆31,M14080,现代全新胜达,148000.0,2942.12,198.79,84,8.64
广东06,M14088,众泰T600,73000.0,2055.25,281.54,84,12.23
广东06,M14205,众泰T700,96000.0,2543.34,264.93,79,12.24
贵阳11,M13797,凯迪拉克赛威,110000.0,2193.0,199.36,91,8
重庆01,M13798,宝马525Li,206000.0,4064.0,197.28,90,8
重庆01,M13800,奔驰C200,220000.0,4700.0,213.64,90,8.66
长沙11,M13810,现代途胜,39000.0,1000.0,256.41,90,10.4
重庆01,M13816,福特福克斯,56000.0,1300.0,232.14,90,9.41
重庆01,M13828,福特锐界,136000.0,2936.0,215.88,90,8.76
南京03,Y468,路虎揽胜,780000.0,25002.74,320.55,90,13
南京03,Y469,奔驰GLS,820000.0,26284.93,320.55,90,13
南京03,Y470,宝马X6,550000.0,17630.14,320.55,90,13
山东44,M13859,丰田埃尔法,360000.0,7022.0,195.06,89,8
贵阳13,M13923,奥迪Q5,152000.0,2931.0,192.83,88,8
广东04,M13954,别克凯越,38000.0,900.0,236.84,87,9.94
广东06,M14077,众泰T600,74000.0,1800.0,243.24,83,10.7
山东18,M13802,福特锐界,224000.0,4384.26,195.73,89,8.03
山东22,M13830,路虎神行者2,200000.0,4402.19,220.11,89,9.03
重庆30,M14113,宝马525Li,272000.0,6159.67,226.46,81,10.2
重庆01,M13739,路虎揽胜,208000.0,4500.0,216.35,90,8.77
重庆01,M13749,奔驰S350L,200000.0,4000.0,200.0,90,8.11
重庆01,M13762,现代途胜,118000.0,2500.0,211.86,89,8.69
